년도,시군명,전체온실가스배출량,대상업체및사업장통계,통계업종
2012,부천시,337034,1,"반도체.디스플레이.전기전자, 발전에너지, 비철금속, 조선, 철강, 통신, 폐기물"
2012,성남시,8294836,8,"반도체.디스플레이.전기전자, 폐기물, 건물, 석유화학"
2012,수원시,12085212,5,"반도체.디스플레이.전기전자, 비철금속, 석유화학, 음식료품, 제지, 폐기물"
2012,시흥시,1423864,8,"기계, 반도체.디스플레이.전기전자, 발전에너지, 석유화학, 섬유, 유리 · 요업, 음식료품, 자동차, 제지, 폐기물"
2012,안산시,6350842,18,반도체.디스플레이.전기전자
2012,안성시,116403,1,"기계, 발전에너지, 비철금속, 유리 · 요업, 폐기물"
2012,안양시,2394670,6,발전에너지
2012,양주시,534041,1,
2012,여주시,50581,0,제지
2012,오산시,1351391,2,"반도체.디스플레이.전기전자, 석유화학, 제지, 폐기물"
2012,용인시,6473669,5,
2012,의정부시,88388,0,"반도체.디스플레이.전기전자, 유리 · 요업"
2012,이천시,4488020,3,반도체.디스플레이.전기전자
2012,파주시,4823291,2,"목재, 비철금속, 유리 · 요업, 음식료품, 자동차, 제지"
2012,평택시,2917486,10,
2012,포천시,2550629,0,제지
2012,하남시,1825488,1,석유화학
2012,화성시,891719,1,통계 업종
2011,고양시,247921,0,"석유화학, 섬유"
2011,과천시,698331,2,폐기물
2011,광명시,155757,1,교통(여객)
2011,광주시,365878,2,
2011,구리시,81544,0,제지
2011,군포시,131412,1,
2011,김포시,79074,0,
2011,남양주시,348648,0,
2011,동두천시,2107264,0,폐기물
2011,부천시,337034,1,"반도체.디스플레이.전기전자, 발전에너지, 조선, 통신, 폐기물"
2011,성남시,8294836,5,"반도체.디스플레이.전기전자, 석유화학, 폐기물"
2011,수원시,12085212,4,"비철금속, 석유화학, 음식료품, 제지, 폐기물"
2011,시흥시,1423864,7,"기계, 반도체.디스플레이.전기전자, 발전에너지, 섬유, 음식료품, 제지, 폐기물"
2011,안산시,6350842,13,반도체.디스플레이.전기전자
