강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20220425~20220524

날짜,지점,강수량(mm)
2022-04-25,108,1.3
2022-04-26,108,1
2022-04-27,108,
2022-04-28,108,0
2022-04-29,108,15.5
2022-04-30,108,
2022-05-01,108,
2022-05-02,108,
2022-05-03,108,
2022-05-04,108,
2022-05-05,108,
2022-05-06,108,
2022-05-07,108,0.5
2022-05-08,108,2
2022-05-09,108,
2022-05-10,108,0
2022-05-11,108,
2022-05-12,108,
2022-05-13,108,
2022-05-14,108,
2022-05-15,108,
2022-05-16,108,
2022-05-17,108,
2022-05-18,108,1.5
2022-05-19,108,
2022-05-20,108,
2022-05-21,108,
2022-05-22,108,
2022-05-23,108,
2022-05-24,108,
